site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
M1/2633A,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,68.0,86.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,65.0,93.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,67.0,132.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,68.0,151.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,68.0,162.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,69.0,190.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,69.0,253.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,70.0,242.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,69.0,277.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,70.0,310.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,70.0,326.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,70.0,315.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,68.0,279.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,69.0,223.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,69.0,167.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,68.0,159.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,69.0,144.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,68.0,122.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,67.0,120.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,68.0,106.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,67.0,96.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,66.0,127.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,67.0,117.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,67.0,106.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,67.0,102.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,67.0,135.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,67.0,137.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,67.0,147.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,67.0,153.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,67.0,140.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,68.0,149.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,68.0,170.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,70.0,191.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,69.0,210.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,68.0,238.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,68.0,269.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,69.0,246.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,69.0,297.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,70.0,336.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,69.0,379.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,70.0,402.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,70.0,515.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,70.0,521.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,69.0,614.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,69.0,683.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,69.0,750.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,69.0,827.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,68.0,891.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,69.0,902.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,68.0,960.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,67.0,947.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,69.0,931.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,55.0,926.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,68.0,997.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,68.0,922.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,68.0,882.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,68.0,918.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,67.0,1035.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,69.0,826.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,68.0,959.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 15:14:00.000000,60,68.0,931.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 15:29:00.000000,61,67.0,923.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 15:44:00.000000,62,67.0,895.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 15:59:00.000000,63,67.0,914.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 16:14:00.000000,64,67.0,908.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 16:29:00.000000,65,66.0,877.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 16:44:00.000000,66,67.0,836.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 16:59:00.000000,67,68.0,813.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 17:14:00.000000,68,66.0,851.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 17:29:00.000000,69,66.0,964.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 17:44:00.000000,70,66.0,924.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 17:59:00.000000,71,66.0,858.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 18:14:00.000000,72,67.0,769.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 18:29:00.000000,73,65.0,796.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 18:44:00.000000,74,65.0,843.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 18:59:00.000000,75,67.0,756.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 19:14:00.000000,76,67.0,732.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 19:29:00.000000,77,67.0,710.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 19:44:00.000000,78,67.0,673.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 19:59:00.000000,79,68.0,612.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 20:14:00.000000,80,67.0,592.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 20:29:00.000000,81,68.0,598.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 20:44:00.000000,82,68.0,573.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 20:59:00.000000,83,67.0,506.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 21:14:00.000000,84,66.0,519.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 21:29:00.000000,85,68.0,456.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 21:44:00.000000,86,66.0,448.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 21:59:00.000000,87,68.0,392.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 22:14:00.000000,88,67.0,385.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 22:29:00.000000,89,66.0,345.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 22:44:00.000000,90,68.0,283.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 22:59:00.000000,91,68.0,328.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 23:14:00.000000,92,67.0,285.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 23:29:00.000000,93,67.0,273.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 23:44:00.000000,94,67.0,241.0,False,False
M1/2633A,1,2019-01-01,1,2019-01-01 23:59:00.000000,95,67.0,216.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 00:14:00.000000,0,66.0,219.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 00:29:00.000000,1,65.0,188.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 00:44:00.000000,2,65.0,168.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 00:59:00.000000,3,66.0,141.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 01:14:00.000000,4,64.0,123.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 01:29:00.000000,5,62.0,116.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 01:44:00.000000,6,63.0,108.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 01:59:00.000000,7,64.0,93.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 02:14:00.000000,8,63.0,81.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 02:29:00.000000,9,63.0,86.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 02:44:00.000000,10,62.0,80.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 02:59:00.000000,11,59.0,83.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 03:14:00.000000,12,61.0,80.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 03:29:00.000000,13,61.0,74.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 03:44:00.000000,14,61.0,101.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 03:59:00.000000,15,62.0,92.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 04:14:00.000000,16,61.0,95.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 04:29:00.000000,17,61.0,109.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 04:44:00.000000,18,63.0,140.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 04:59:00.000000,19,62.0,175.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 05:14:00.000000,20,63.0,216.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 05:29:00.000000,21,63.0,262.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 05:44:00.000000,22,63.0,314.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 05:59:00.000000,23,65.0,354.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 06:14:00.000000,24,64.0,428.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 06:29:00.000000,25,64.0,537.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 06:44:00.000000,26,64.0,623.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 06:59:00.000000,27,63.0,790.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 07:14:00.000000,28,64.0,839.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 07:29:00.000000,29,63.0,1033.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 07:44:00.000000,30,64.0,961.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 07:59:00.000000,31,63.0,968.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 08:14:00.000000,32,63.0,987.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 08:29:00.000000,33,64.0,910.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 08:44:00.000000,34,65.0,750.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 08:59:00.000000,35,65.0,735.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 09:14:00.000000,36,64.0,751.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 09:29:00.000000,37,65.0,684.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 09:44:00.000000,38,65.0,736.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 09:59:00.000000,39,64.0,850.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 10:14:00.000000,40,64.0,868.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 10:29:00.000000,41,64.0,903.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 10:44:00.000000,42,64.0,945.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 10:59:00.000000,43,64.0,946.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 11:14:00.000000,44,64.0,1040.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 11:29:00.000000,45,63.0,1112.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 11:44:00.000000,46,63.0,1125.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 11:59:00.000000,47,63.0,1095.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 12:14:00.000000,48,64.0,1052.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 12:29:00.000000,49,64.0,1084.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 12:44:00.000000,50,63.0,1108.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 12:59:00.000000,51,64.0,1069.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 13:14:00.000000,52,64.0,1034.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 13:29:00.000000,53,62.0,1090.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 13:44:00.000000,54,64.0,978.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 13:59:00.000000,55,64.0,982.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 14:14:00.000000,56,64.0,1003.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 14:29:00.000000,57,63.0,945.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 14:44:00.000000,58,64.0,995.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 14:59:00.000000,59,64.0,962.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 15:14:00.000000,60,64.0,926.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 15:29:00.000000,61,64.0,962.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 15:44:00.000000,62,64.0,963.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 15:59:00.000000,63,64.0,1002.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 16:14:00.000000,64,63.0,1073.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 16:29:00.000000,65,64.0,1070.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 16:44:00.000000,66,63.0,1079.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 16:59:00.000000,67,64.0,1033.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 17:14:00.000000,68,62.0,1006.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 17:29:00.000000,69,61.0,1089.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 17:44:00.000000,70,62.0,1053.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 17:59:00.000000,71,63.0,972.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 18:14:00.000000,72,63.0,868.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 18:29:00.000000,73,64.0,786.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 18:44:00.000000,74,65.0,649.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 18:59:00.000000,75,63.0,727.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 19:14:00.000000,76,65.0,649.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 19:29:00.000000,77,65.0,619.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 19:44:00.000000,78,65.0,653.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 19:59:00.000000,79,65.0,557.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 20:14:00.000000,80,65.0,528.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 20:29:00.000000,81,65.0,515.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 20:44:00.000000,82,64.0,548.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 20:59:00.000000,83,64.0,484.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 21:14:00.000000,84,64.0,503.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 21:29:00.000000,85,66.0,448.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 21:44:00.000000,86,64.0,498.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 21:59:00.000000,87,64.0,403.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 22:14:00.000000,88,65.0,389.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 22:29:00.000000,89,65.0,350.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 22:44:00.000000,90,66.0,350.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 22:59:00.000000,91,65.0,351.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 23:14:00.000000,92,65.0,347.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 23:29:00.000000,93,65.0,360.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 23:44:00.000000,94,65.0,307.0,False,False
M1/2633A,2,2019-01-02,2,2019-01-02 23:59:00.000000,95,64.0,274.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 00:14:00.000000,0,65.0,241.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 00:29:00.000000,1,65.0,231.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 00:44:00.000000,2,62.0,191.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 00:59:00.000000,3,63.0,149.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 01:14:00.000000,4,64.0,148.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 01:29:00.000000,5,62.0,178.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 01:44:00.000000,6,60.0,144.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 01:59:00.000000,7,61.0,154.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 02:14:00.000000,8,59.0,115.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 02:29:00.000000,9,59.0,137.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 02:44:00.000000,10,58.0,109.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 02:59:00.000000,11,59.0,117.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 03:14:00.000000,12,59.0,108.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 03:29:00.000000,13,59.0,117.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 03:44:00.000000,14,59.0,139.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 03:59:00.000000,15,59.0,143.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 04:14:00.000000,16,60.0,160.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 04:29:00.000000,17,61.0,160.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 04:44:00.000000,18,60.0,184.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 04:59:00.000000,19,61.0,206.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 05:14:00.000000,20,61.0,226.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 05:29:00.000000,21,62.0,284.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 05:44:00.000000,22,62.0,372.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 05:59:00.000000,23,63.0,432.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 06:14:00.000000,24,64.0,460.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 06:29:00.000000,25,63.0,642.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 06:44:00.000000,26,63.0,709.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 06:59:00.000000,27,63.0,820.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 07:14:00.000000,28,63.0,897.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 07:29:00.000000,29,63.0,1068.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 07:44:00.000000,30,63.0,1079.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 07:59:00.000000,31,63.0,1125.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 08:14:00.000000,32,63.0,1110.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 08:29:00.000000,33,64.0,1001.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 08:44:00.000000,34,65.0,909.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 08:59:00.000000,35,64.0,877.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 09:14:00.000000,36,63.0,842.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 09:29:00.000000,37,64.0,826.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 09:44:00.000000,38,64.0,797.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 09:59:00.000000,39,63.0,810.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 10:14:00.000000,40,62.0,881.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 10:29:00.000000,41,63.0,897.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 10:44:00.000000,42,63.0,945.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 10:59:00.000000,43,63.0,968.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 11:14:00.000000,44,63.0,1010.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 11:29:00.000000,45,63.0,1034.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 11:44:00.000000,46,63.0,1005.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 11:59:00.000000,47,63.0,1023.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 12:14:00.000000,48,64.0,953.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 12:29:00.000000,49,62.0,1045.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 12:44:00.000000,50,63.0,1022.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 12:59:00.000000,51,63.0,947.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 13:14:00.000000,52,63.0,792.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 13:29:00.000000,53,33.0,1196.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 13:44:00.000000,54,34.0,1045.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 13:59:00.000000,55,59.0,1032.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 14:14:00.000000,56,62.0,1021.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 14:29:00.000000,57,63.0,1026.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 14:44:00.000000,58,64.0,980.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 14:59:00.000000,59,63.0,1009.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 15:14:00.000000,60,63.0,1048.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 15:29:00.000000,61,63.0,1066.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 15:44:00.000000,62,63.0,1074.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 15:59:00.000000,63,62.0,1077.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 16:14:00.000000,64,63.0,1191.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 16:29:00.000000,65,62.0,1268.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 16:44:00.000000,66,61.0,1142.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 16:59:00.000000,67,61.0,1232.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 17:14:00.000000,68,61.0,1177.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 17:29:00.000000,69,61.0,1185.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 17:44:00.000000,70,62.0,1083.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 17:59:00.000000,71,62.0,1072.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 18:14:00.000000,72,63.0,1017.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 18:29:00.000000,73,64.0,815.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 18:44:00.000000,74,64.0,824.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 18:59:00.000000,75,63.0,767.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 19:14:00.000000,76,65.0,660.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 19:29:00.000000,77,64.0,689.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 19:44:00.000000,78,65.0,616.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 19:59:00.000000,79,64.0,623.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 20:14:00.000000,80,64.0,609.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 20:29:00.000000,81,63.0,555.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 20:44:00.000000,82,65.0,499.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 20:59:00.000000,83,62.0,492.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 21:14:00.000000,84,64.0,512.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 21:29:00.000000,85,65.0,466.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 21:44:00.000000,86,64.0,468.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 21:59:00.000000,87,64.0,345.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 22:14:00.000000,88,64.0,374.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 22:29:00.000000,89,64.0,402.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 22:44:00.000000,90,65.0,330.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 22:59:00.000000,91,65.0,310.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 23:14:00.000000,92,63.0,314.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 23:29:00.000000,93,63.0,327.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 23:44:00.000000,94,64.0,320.0,False,False
M1/2633A,3,2019-01-03,3,2019-01-03 23:59:00.000000,95,63.0,254.0,False,False
M1/2633A,4,2019-01-04,4,2019-01-04 00:14:00.000000,0,64.0,257.0,False,False
